id,drug_code,brand_name,generic_name,category,uom,dosage_form,strength,storage_condition,criticality,unit_cost,min_stock_threshold,target_stock_level,reorder_level,is_active
81cfce7a-db8c-41bc-8a00-27f2cd737bf8,DRG-0001,Atropine Inj #1,Atropine Sulphate Gen-1,Emergency/Antidote,ampoule,Injection,1mg/ml,COLD_CHAIN,VITAL,18.5,100,800,150,True
08cf44a2-7843-40db-8be5-b7ec90054e44,DRG-0002,Monocef 1g #2,Ceftriaxone Sodium Gen-2,Antibiotic,vial,Injection,1g,AMBIENT,ESSENTIAL,45.0,100,800,150,True
74970ff4-2a08-4f93-a3e3-06c395e7cc5d,DRG-0003,Human Actrapid #3,Regular Insulin Gen-3,Endocrine/Diabetes,vial,Injection,100 IU/ml,COLD_CHAIN,VITAL,165.0,500,4000,750,True
7c2d76e0-6fbe-4bf9-9480-1926f496b863,DRG-0004,Dolo 650 #4,Paracetamol Gen-4,Analgesic,tablet,Tablet,650mg,AMBIENT,DESIRABLE,1.8,200,1600,300,True
d3c01138-9905-4d76-bf2b-64490842f674,DRG-0005,Vasocon 1mg #5,Adrenaline Gen-5,Emergency,ampoule,Injection,1mg/ml,COLD_CHAIN,VITAL,24.0,200,1600,300,True
bf864bc6-3ff9-40df-b3ba-15a657cad795,DRG-0006,Augmentin 625 #6,Amoxicillin + Clav Gen-6,Antibiotic,tablet,Tablet,625mg,AMBIENT,ESSENTIAL,22.0,200,1600,300,True
ab85addb-363b-44a6-a129-ab0844ddb444,DRG-0007,Glycomet 500 #7,Metformin HCl Gen-7,Endocrine,tablet,Tablet,500mg,AMBIENT,ESSENTIAL,3.5,200,1600,300,True
ff13e030-b20f-4e3a-9b03-107ad34e60e2,DRG-0008,Emeset 4mg #8,Ondansetron Gen-8,Antiemetic,ampoule,Injection,2mg/ml,AMBIENT,DESIRABLE,12.0,500,4000,750,True
ed3ad51d-dc53-4e58-9e93-f83383f3d25f,DRG-0009,Pan 40 #9,Pantoprazole Gen-9,Gastrointestinal,vial,Injection,40mg,AMBIENT,ESSENTIAL,38.0,100,800,150,True
4181b429-be0e-4aa8-86ff-43647a0bf2c0,DRG-0010,Hep 5000 IU #10,Heparin Sodium Gen-10,Anticoagulant,vial,Injection,5000 IU/ml,COLD_CHAIN,VITAL,120.0,100,800,150,True
